Building,Complete Target,Completion Status,Country,County,Description,Months,Operational Unit,Post,Raised Date,Region,Short Description,WO Complete,WO Number,WO Status,Work Type,2022,2023,Amount or Number,p.Choose Year
Manhattan Building,14/02/2022 09:08:00,Closed,United Kingdom,Shropshire,Work order completed with documents/costs,22-Jan,Probation,CW3,31/01/2022 09:08:00,West,Residential Assistant,11/2/2022 17:00,GEMF:9696,WRKCOM,COMPLAINT,451,480.315,451,451
Capetown Heights,14/02/2022 12:19:00,Opened,United Kingdom,Northamptonshire,Call to supplier received,22-Jan,Probation,CV23,31/01/2022 12:19:00,East,Clinical Waste,,GEMF:9697,CALLMADESUP,COMPLAINT,451,480.315,451,451
Massive Heights,14/02/2022 15:04:00,Closed,United Kingdom,Shropshire,Work order completed with documents/costs,22-Jan,Probation,CW3,31/01/2022 15:04:00,West,Residential Assistant,31/01/2022 17:05:00,GEMF:9699,WRKCOM,COMPLAINT,451,480.315,451,451
Massive Heights,14/02/2022 16:09:00,Closed,United Kingdom,Shropshire,Work order completed with documents/costs,22-Jan,Probation,CW3,31/01/2022 16:09:00,West,Residential Assistant,31/01/2022 17:00:00,GEMF:9700,WRKCOM,COMPLAINT,451,480.315,451,451
London House,14/02/2022 20:26:00,Closed,United Kingdom,Isle of Wight,Work order completed with documents/costs,22-Jan,Probation,PO30,31/01/2022 20:26:00,South,Clinical Waste,1/2/2022 12:24,GEMF:9701,WRKCOM,COMPLAINT,451,480.315,451,451
Hattusa,14/02/2022 20:36:00,Closed,United Kingdom,Shropshire,Work order completed with documents/costs,22-Jan,Probation,CW3,31/01/2022 20:36:00,West,Residential Assistant,1/2/2022 12:24,GEMF:9702,WRKCOM,COMPLAINT,451,480.315,451,451
Massive Heights,15/02/2022 08:54:00,Closed,United Kingdom,Shropshire,Work order completed with documents/costs,22-Feb,Probation,CW3,1/2/2022 8:54,West,Residential Assistant,1/2/2022 12:20,GEMF:9703,WRKCOM,COMPLAINT,451,480.315,451,451
Rambo Heights,15/02/2022 09:22:00,Closed,United Kingdom,Somerset,Work order completed with documents/costs,22-Feb,Probation,BA3,1/2/2022 9:22,West,Residential Assistant,1/2/2022 12:21,GEMF:9704,WRKCOM,COMPLAINT,451,480.315,451,451
Aula Palatina,15/02/2022 13:36:00,Closed,United Kingdom,Middlesex,Work order completed with documents/costs,22-Feb,DLUHC,HA0,1/2/2022 13:36,North,Lock up/open up,15/02/2022 07:38:00,GEMF:9707,WRKCOM,COMPLAINT,451,480.315,451,451
Capetown Heights,15/02/2022 14:14:00,Closed,United Kingdom,Northamptonshire,Work order completed with documents/costs,22-Feb,Probation,CV23,1/2/2022 14:14,East,Residential Assistant,14/02/2022 07:26:00,GEMF:9709,WRKCOM,COMPLAINT,451,480.315,451,451
Crantit cairn,15/02/2022 20:15:00,Closed,United Kingdom,Derbyshire,Work order completed with documents/costs,22-Feb,DLUHC,DE4,1/2/2022 20:15,West,Residential Assistant,2/2/2022 12:26,GEMF:9710,WRKCOM,COMPLAINT,451,480.315,451,451
New Cut House,16/02/2022 17:31:00,Closed,United Kingdom,Surrey,Work order completed with documents/costs,22-Feb,Probation,CR3,2/2/2022 17:31,South,Residential Assistant,3/2/2022 16:03,GEMF:9711,WRKCOM,COMPLAINT,451,480.315,451,451
New Cut House,16/02/2022 17:37:00,Closed,United Kingdom,Surrey,Work order completed with documents/costs,22-Feb,Probation,CR3,2/2/2022 17:37,South,Residential Assistant,3/2/2022 11:40,GEMF:9712,WRKCOM,COMPLAINT,451,480.315,451,451
Capel Garmon,17/02/2022 08:36:00,Closed,United Kingdom,Northamptonshire,Work order completed with documents/costs,22-Feb,Probation,CV23,3/2/2022 8:36,East,Clinical Waste,14/02/2022 10:23:13,GEMF:9713,WRKCOM,COMPLAINT,451,480.315,451,451
Hattusa,17/02/2022 08:54:00,Closed,United Kingdom,Shropshire,Work order completed with documents/costs,22-Feb,Probation,CW3,3/2/2022 8:54,West,Residential Assistant,3/2/2022 11:41,GEMF:9714,WRKCOM,COMPLAINT,451,480.315,451,451
New Cut House,17/02/2022 11:09:00,Closed,United Kingdom,Surrey,Work order completed with documents/costs,22-Feb,Probation,CR3,3/2/2022 11:09,South,Residential Assistant,3/2/2022 14:05,GEMF:9715,WRKCOM,COMPLAINT,451,480.315,451,451
Newton Place,17/02/2022 13:01:00,Closed,United Kingdom,East Sussex,Work order completed with documents/costs,22-Feb,Probation,BN1,3/2/2022 13:01,South,Residential Assistant,3/2/2022 13:59,GEMF:9716,WRKCOM,COMPLAINT,451,480.315,451,451
Animal Sanctuary,17/02/2022 17:08:00,Closed,United Kingdom,Cumbria,Work order completed with documents/costs,22-Feb,Border Force,CA1,3/2/2022 17:08,West,Clinical Waste,14/02/2022 14:26:00,GEMF:1048,WRKCOM,COMPLAINT,451,480.315,451,451
Royal Palace of Ebla,18/02/2022 15:10:00,Closed,United Kingdom,Gloucestershire,Work order completed with documents/costs,22-Feb,Home Office,GL1,4/2/2022 15:10,West,Lock up/open up,7/2/2022 8:09,GEMF:1049,WRKCOM,COMPLAINT,451,480.315,451,451
Newton Place,18/02/2022 15:13:00,Closed,United Kingdom,East Sussex,Work order completed with documents/costs,22-Feb,Probation,BN1,4/2/2022 15:13,South,Residential Assistant,4/2/2022 15:45,GEMF:9717,WRKCOM,COMPLAINT,451,480.315,451,451
Tarxien Temples,18/02/2022 20:05:00,Closed,United Kingdom,Merseyside,Work order completed with documents/costs,22-Feb,Probation,CH25,4/2/2022 20:05,West,Residential Assistant,8/2/2022 13:04,GEMF:9718,WRKCOM,COMPLAINT,451,480.315,451,451
Massive Heights,18/02/2022 21:19:00,Closed,United Kingdom,Shropshire,Work order completed with documents/costs,22-Feb,Probation,CW3,4/2/2022 21:19,West,Clinical Waste,17/02/2022 07:43:00,GEMF:9719,WRKCOM,COMPLAINT,451,480.315,451,451
Dolmen de Viera,18/02/2022 23:59:00,Closed,United Kingdom,Oxfordshire,Work order completed with documents/costs,22-Feb,DLUHC,GL7,5/2/2022 5:32,East,Residential Assistant,7/2/2022 11:45,GEMF:9720,WRKCOM,COMPLAINT,451,480.315,451,451
Massive Heights,18/02/2022 23:59:00,Closed,United Kingdom,Shropshire,Work order completed with documents/costs,22-Feb,Probation,CW3,5/2/2022 9:05,West,Residential Assistant,7/2/2022 14:18,GEMF:9721,WRKCOM,COMPLAINT,451,480.315,451,451
Newton Place,18/02/2022 23:59:00,Closed,United Kingdom,East Sussex,Work order completed with documents/costs,22-Feb,Probation,BN1,5/2/2022 17:51,South,Residential Assistant,7/2/2022 9:59,GEMF:9722,WRKCOM,COMPLAINT,451,480.315,451,451
Famouse House,18/02/2022 23:59:00,Closed,United Kingdom,North Yorkshire,Work order completed with documents/costs,22-Feb,Probation,BD23,5/2/2022 19:26,West,Residential Assistant,9/2/2022 9:58,GEMF:9723,WRKCOM,COMPLAINT,451,480.315,451,451
New Cut House,18/02/2022 23:59:00,Closed,United Kingdom,Surrey,Work order completed with documents/costs,22-Feb,Probation,CR3,5/2/2022 20:04,South,Clinical Waste,17/02/2022 08:53:00,GEMF:9724,WRKCOM,COMPLAINT,451,480.315,451,451
Dolmen de Viera,18/02/2022 23:59:00,Closed,United Kingdom,Oxfordshire,Work order completed with documents/costs,22-Feb,DLUHC,GL7,6/2/2022 5:40,East,Residential Assistant,8/2/2022 10:06,GEMF:9725,WRKCOM,COMPLAINT,451,480.315,451,451
Dolmen de Viera,18/02/2022 23:59:00,Closed,United Kingdom,Oxfordshire,Work order completed with documents/costs,22-Feb,DLUHC,GL7,6/2/2022 10:36,East,Residential Assistant,18/02/2022 10:12:15,GEMF:9726,WRKCOM,COMPLAINT,451,480.315,451,451
Pyramid of Merenre,18/02/2022 23:59:00,Closed,United Kingdom,Essex,Work order completed with documents/costs,22-Feb,Probation,CB1,6/2/2022 12:09,East,Residential Assistant,7/2/2022 11:11,GEMF:9727,WRKCOM,COMPLAINT,451,480.315,451,451
New Cut House,18/02/2022 23:59:00,Closed,United Kingdom,Surrey,Work order completed with documents/costs,22-Feb,Probation,CR3,6/2/2022 21:30,South,Residential Assistant,7/2/2022 11:45,GEMF:9728,WRKCOM,COMPLAINT,451,480.315,451,451
Massive Heights,21/02/2022 10:48:00,Closed,United Kingdom,Shropshire,Work order completed with documents/costs,22-Feb,Probation,CW3,7/2/2022 10:48,West,Residential Assistant,7/2/2022 13:15,GEMF:9729,WRKCOM,COMPLAINT,451,480.315,451,451
Massive Heights,21/02/2022 11:14:00,Closed,United Kingdom,Shropshire,Work order completed with documents/costs,22-Feb,Probation,CW3,7/2/2022 11:14,West,Residential Assistant,7/2/2022 13:16,GEMF:9730,WRKCOM,COMPLAINT,451,480.315,451,451
Massive Heights,21/02/2022 11:52:00,Closed,United Kingdom,Shropshire,Work order completed with documents/costs,22-Feb,Probation,CW3,7/2/2022 11:52,West,Residential Assistant,7/2/2022 13:17,GEMF:9731,WRKCOM,COMPLAINT,451,480.315,451,451
Massive Heights,21/02/2022 15:05:00,Closed,United Kingdom,Shropshire,Work order completed with documents/costs,22-Feb,Probation,CW3,7/2/2022 15:05,West,Clinical Waste,8/2/2022 9:11,GEMF:9732,WRKCOM,COMPLAINT,451,480.315,451,451
Bird Palace,21/02/2022 20:32:00,Closed,United Kingdom,Cumbria,Work order completed with documents/costs,22-Feb,Probation,CA1,7/2/2022 20:32,West,Residential Assistant,9/2/2022 15:44,GEMF:9733,WRKCOM,COMPLAINT,451,480.315,451,451
London House,21/02/2022 22:18:00,Closed,United Kingdom,Isle of Wight,Work order completed with documents/costs,22-Feb,Probation,PO30,7/2/2022 22:18,South,Residential Assistant,8/2/2022 13:28,GEMF:9735,WRKCOM,COMPLAINT,451,480.315,451,451
Massive Heights,22/02/2022 09:30:00,Closed,United Kingdom,Shropshire,Work order completed with documents/costs,22-Feb,Probation,CW3,8/2/2022 9:30,West,Residential Assistant,8/2/2022 14:38,GEMF:9736,WRKCOM,COMPLAINT,451,480.315,451,451
Massive Heights,22/02/2022 10:14:00,Closed,United Kingdom,Shropshire,Work order completed with documents/costs,22-Feb,Probation,CW3,8/2/2022 10:14,West,Residential Assistant,8/2/2022 14:49,GEMF:9737,WRKCOM,COMPLAINT,451,480.315,451,451
Rambo Heights,22/02/2022 12:11:00,Closed,United Kingdom,Somerset,Work order completed with documents/costs,22-Feb,Probation,BA3,8/2/2022 12:11,West,Residential Assistant,10/2/2022 10:27,GEMF:9738,WRKCOM,COMPLAINT,451,480.315,451,451
Anu ziggurat of Uruk,22/02/2022 12:40:00,Closed,United Kingdom,Middlesex,Work order completed with documents/costs,22-Feb,DLUHC,HA0,8/2/2022 12:40,North,Residential Assistant,10/2/2022 16:25,GEMF:9739,WRKCOM,COMPLAINT,451,480.315,451,451
Harappa,22/02/2022 15:48:00,Closed,United Kingdom,Greater Manchester,Work order completed with documents/costs,22-Feb,Probation,BL0,8/2/2022 15:48,West,Housekeeping,10/2/2022 14:47,GEMF:9740,WRKCOM,COMPLAINT,451,480.315,451,451
London House,22/02/2022 20:40:00,Closed,United Kingdom,Isle of Wight,Work order completed with documents/costs,22-Feb,Probation,PO30,8/2/2022 20:40,South,Residential Assistant,9/2/2022 10:03,GEMF:9741,WRKCOM,COMPLAINT,451,480.315,451,451
Hattusa,23/02/2022 06:15:00,Closed,United Kingdom,Shropshire,Work order completed with documents/costs,22-Feb,Probation,CW3,9/2/2022 6:15,West,Residential Assistant,9/2/2022 10:12,GEMF:9742,WRKCOM,COMPLAINT,451,480.315,451,451
Hattusa,23/02/2022 06:16:00,Closed,United Kingdom,Shropshire,Work order completed with documents/costs,22-Feb,Probation,CW3,9/2/2022 6:16,West,Residential Assistant,9/2/2022 10:14,GEMF:9743,WRKCOM,COMPLAINT,451,480.315,451,451
Hattusa,23/02/2022 06:17:00,Closed,United Kingdom,Shropshire,Work order completed with documents/costs,22-Feb,Probation,CW3,9/2/2022 6:17,West,Residential Assistant,9/2/2022 10:15,GEMF:9744,WRKCOM,COMPLAINT,451,480.315,451,451
Hattusa,23/02/2022 06:18:00,Closed,United Kingdom,Shropshire,Work order completed with documents/costs,22-Feb,Probation,CW3,9/2/2022 6:18,West,Residential Assistant,9/2/2022 10:16,GEMF:9745,WRKCOM,COMPLAINT,451,480.315,451,451
The Shard,24/02/2022 15:33:00,Closed,United Kingdom,Cornwall,Work order completed with documents/costs,22-Feb,DoE,EX22,10/2/2022 15:33,West,Clinical Waste,11/2/2022 9:55,GEMF:9748,WRKCOM,COMPLAINT,451,480.315,451,451
Bird Palace,24/02/2022 19:23:00,Closed,United Kingdom,Cumbria,Work order completed with documents/costs,22-Feb,Probation,CA1,10/2/2022 19:23,West,Residential Assistant,10/2/2022 22:46,GEMF:9749,WRKCOM,COMPLAINT,451,480.315,451,451
Ramesseum,24/02/2022 20:23:00,Closed,United Kingdom,Gloucestershire,Work order completed with documents/costs,22-Feb,Probation,GL1,10/2/2022 20:23,West,Residential Assistant,11/2/2022 11:09,GEMF:9750,WRKCOM,COMPLAINT,451,480.315,451,451
New Lane,25/02/2022 11:07:00,Closed,United Kingdom,Greater London,Work order completed with documents/costs,22-Feb,Probation,BR1,11/2/2022 11:07,Central,Residential Assistant,11/2/2022 14:49,GEMF:9751,WRKCOM,COMPLAINT,451,480.315,451,451
Newton Place,25/02/2022 23:59:00,Closed,United Kingdom,East Sussex,Work order completed with documents/costs,22-Feb,Probation,BN1,12/2/2022 7:04,South,Residential Assistant,14/02/2022 11:15:00,GEMF:9753,WRKCOM,COMPLAINT,451,480.315,451,451
Massive Heights,25/02/2022 23:59:00,Closed,United Kingdom,Shropshire,Work order completed with documents/costs,22-Feb,Probation,CW3,12/2/2022 11:08,West,Residential Assistant,14/02/2022 12:03:00,GEMF:9754,WRKCOM,COMPLAINT,451,480.315,451,451
New Cut House,25/02/2022 23:59:00,Closed,United Kingdom,Surrey,Work order completed with documents/costs,22-Feb,Probation,CR3,12/2/2022 16:27,South,Residential Assistant,14/02/2022 11:43:00,GEMF:9755,WRKCOM,COMPLAINT,451,480.315,451,451
Newton Place,25/02/2022 23:59:00,Closed,United Kingdom,East Sussex,Work order completed with documents/costs,22-Feb,Probation,BN1,12/2/2022 21:07,South,Residential Assistant,14/02/2022 11:14:00,GEMF:9756,WRKCOM,COMPLAINT,451,480.315,451,451
Dolmen de Viera,25/02/2022 23:59:00,Closed,United Kingdom,Oxfordshire,Work order completed with documents/costs,22-Feb,DLUHC,GL7,12/2/2022 23:52,East,Clinical Waste,14/02/2022 11:13:00,GEMF:9757,WRKCOM,COMPLAINT,451,480.315,451,451
Massive Heights,25/02/2022 23:59:00,Closed,United Kingdom,Shropshire,Work order completed with documents/costs,22-Feb,Probation,CW3,13/02/2022 12:04:00,West,Residential Assistant,14/02/2022 12:04:00,GEMF:9758,WRKCOM,COMPLAINT,451,480.315,451,451
London House,25/02/2022 23:59:00,Closed,United Kingdom,Isle of Wight,Work order completed with documents/costs,22-Feb,Probation,PO30,13/02/2022 20:51:00,South,Clinical Waste,14/02/2022 11:13:00,GEMF:9759,WRKCOM,COMPLAINT,451,480.315,451,451
Manhattan Building,25/02/2022 23:59:00,Closed,United Kingdom,Shropshire,Work order completed with documents/costs,22-Feb,Probation,CW3,13/02/2022 21:00:00,West,Residential Assistant,14/02/2022 11:11:00,GEMF:9760,WRKCOM,COMPLAINT,451,480.315,451,451
Dolmen de Viera,25/02/2022 23:59:00,Closed,United Kingdom,Oxfordshire,Work order completed with documents/costs,22-Feb,DLUHC,GL7,13/02/2022 22:13:00,East,Clinical Waste,14/02/2022 11:08:00,GEMF:9761,WRKCOM,COMPLAINT,451,480.315,451,451
Newton Place,25/02/2022 23:59:00,Closed,United Kingdom,East Sussex,Work order completed with documents/costs,22-Feb,Probation,BN1,13/02/2022 22:51:00,South,Residential Assistant,14/02/2022 11:06:00,GEMF:9762,WRKCOM,COMPLAINT,451,480.315,451,451
Pyramid of Merenre,28/02/2022 10:42:00,Closed,United Kingdom,Essex,Work order completed with documents/costs,22-Feb,Probation,CB1,14/02/2022 10:42:39,East,Clinical Waste,14/02/2022 12:04:00,GEMF:9763,WRKCOM,COMPLAINT,451,480.315,451,451
New Cut House,28/02/2022 13:08:00,Closed,United Kingdom,Surrey,Work order completed with documents/costs,22-Feb,Probation,CR3,14/02/2022 13:08:00,South,Residential Assistant,14/02/2022 15:37:00,GEMF:9764,WRKCOM,COMPLAINT,451,480.315,451,451
Oxford Street Palace,28/02/2022 14:10:00,Closed,United Kingdom,Greater London,Work order completed with documents/costs,22-Feb,Probation,BR1,14/02/2022 14:10:28,Central,Residential Assistant,14/02/2022 17:07:00,GEMF:9765,WRKCOM,COMPLAINT,451,480.315,451,451
Massive Heights,28/02/2022 15:15:00,Closed,United Kingdom,Shropshire,Work order completed with documents/costs,22-Feb,Probation,CW3,14/02/2022 15:15:00,West,Clinical Waste,14/02/2022 17:25:00,GEMF:9766,WRKCOM,COMPLAINT,451,480.315,451,451
Newton Place,28/02/2022 20:32:00,Closed,United Kingdom,East Sussex,Work order completed with documents/costs,22-Feb,Probation,BN1,14/02/2022 20:32:00,South,Residential Assistant,15/02/2022 08:13:00,GEMF:9767,WRKCOM,COMPLAINT,451,480.315,451,451
Massive Heights,1/3/2022 2:29,Closed,United Kingdom,Shropshire,Work order completed with documents/costs,22-Feb,Probation,CW3,15/02/2022 02:29:00,West,Residential Assistant,15/02/2022 08:17:00,GEMF:9768,WRKCOM,COMPLAINT,451,480.315,451,451
Newton Place,1/3/2022 2:55,Closed,United Kingdom,East Sussex,Work order completed with documents/costs,22-Feb,Probation,BN1,15/02/2022 02:55:00,South,Residential Assistant,15/02/2022 08:15:00,GEMF:9769,WRKCOM,COMPLAINT,451,480.315,451,451
Fresh World House,1/3/2022 5:46,Closed,United Kingdom,Hampshire,Work order completed with documents/costs,22-Feb,Probation,BH23,15/02/2022 05:46:00,South,General Waste,28/02/2022 10:23:00,GEMF:9770,WRKCOM,COMPLAINT,451,480.315,451,451
Massive Heights,1/3/2022 11:45,Closed,United Kingdom,Shropshire,Work order completed with documents/costs,22-Feb,Probation,CW3,15/02/2022 11:45:00,West,Residential Assistant,15/02/2022 12:26:00,GEMF:9771,WRKCOM,COMPLAINT,451,480.315,451,451
Massive Heights,1/3/2022 11:56,Closed,United Kingdom,Shropshire,Work order completed with documents/costs,22-Feb,Probation,CW3,15/02/2022 11:56:00,West,Residential Assistant,15/02/2022 14:21:00,GEMF:9772,WRKCOM,COMPLAINT,451,480.315,451,451
Massive Heights,1/3/2022 14:14,Closed,United Kingdom,Shropshire,Work order completed with documents/costs,22-Feb,Probation,CW3,15/02/2022 14:14:27,West,Residential Assistant,15/02/2022 14:53:00,GEMF:9773,WRKCOM,COMPLAINT,451,480.315,451,451
Prime House,1/3/2022 14:51,Closed,United Kingdom,Essex,Work order completed with documents/costs,22-Feb,Probation,CB1,15/02/2022 14:51:00,East,Residential Assistant,16/02/2022 12:56:00,GEMF:9774,WRKCOM,COMPLAINT,451,480.315,451,451
Massive Heights,1/3/2022 16:26,Closed,United Kingdom,Shropshire,Work order completed with documents/costs,22-Feb,Probation,CW3,15/02/2022 16:26:00,West,Residential Assistant,15/02/2022 17:52:00,GEMF:9775,WRKCOM,COMPLAINT,451,480.315,451,451
Newton Place,1/3/2022 23:32,Closed,United Kingdom,East Sussex,Work order completed with documents/costs,22-Feb,Probation,BN1,15/02/2022 23:32:00,South,Residential Assistant,16/02/2022 11:30:00,GEMF:9776,WRKCOM,COMPLAINT,451,480.315,451,451
Porta Nigra,2/3/2022 7:39,Closed,United Kingdom,Essex,Work order completed with documents/costs,22-Feb,Home Office,CB1,16/02/2022 07:39:06,East,Clinical Waste,16/02/2022 10:25:00,GEMF:1051,WRKCOM,COMPLAINT,451,480.315,451,451
Rambo Heights,2/3/2022 10:38,Closed,United Kingdom,Somerset,Work order completed with documents/costs,22-Feb,Probation,BA3,16/02/2022 10:38:00,West,Residential Assistant,1/3/2022 7:36,GEMF:9777,WRKCOM,COMPLAINT,451,480.315,451,451
Porta Nigra,2/3/2022 12:48,Closed,United Kingdom,Essex,Work order completed with documents/costs,22-Feb,Home Office,CB1,16/02/2022 12:48:00,East,Residential Assistant,21/02/2022 08:56:00,GEMF:1052,WRKCOM,COMPLAINT,451,480.315,451,451
Massive Heights,2/3/2022 12:58,Closed,United Kingdom,Shropshire,Work order completed with documents/costs,22-Feb,Probation,CW3,16/02/2022 12:59:00,West,Residential Assistant,16/02/2022 13:36:00,GEMF:9778,WRKCOM,COMPLAINT,451,480.315,451,451
Hattusa,2/3/2022 20:12,Closed,United Kingdom,Shropshire,Work order completed with documents/costs,22-Feb,Probation,CW3,16/02/2022 20:12:00,West,Residential Assistant,17/02/2022 08:22:00,GEMF:9779,WRKCOM,COMPLAINT,451,480.315,451,451
Newton Place,2/3/2022 22:48,Closed,United Kingdom,East Sussex,Work order completed with documents/costs,22-Feb,Probation,BN1,16/02/2022 22:48:00,South,Residential Assistant,17/02/2022 08:22:00,GEMF:9780,WRKCOM,COMPLAINT,451,480.315,451,451
Rambo Heights,3/3/2022 1:09,Closed,United Kingdom,Somerset,Work order completed with documents/costs,22-Feb,Probation,BA3,17/02/2022 01:09:00,West,Residential Assistant,2/3/2022 8:11,GEMF:9781,WRKCOM,COMPLAINT,451,480.315,451,451
London House,3/3/2022 6:47,Closed,United Kingdom,Isle of Wight,Work order completed with documents/costs,22-Feb,Probation,PO30,17/02/2022 06:47:00,South,Residential Assistant,17/02/2022 08:22:00,GEMF:9782,WRKCOM,COMPLAINT,451,480.315,451,451
Bent Pyramid,3/3/2022 11:17,Closed,United Kingdom,North Yorkshire,Work order completed with documents/costs,22-Feb,DLUHC,BD23,17/02/2022 11:17:00,West,Clinical Waste,2/3/2022 8:09,GEMF:9783,WRKCOM,COMPLAINT,451,480.315,451,451
Capetown Heights,3/3/2022 12:04,Closed,United Kingdom,Northamptonshire,Work order completed with documents/costs,22-Feb,Prosecution,CV23,17/02/2022 12:04:00,East,Residential Assistant,17/02/2022 13:58:00,GEMF:9784,WRKCOM,COMPLAINT,451,480.315,451,451
Green Place,3/3/2022 16:05,Closed,United Kingdom,Greater Manchester,Work order completed with documents/costs,22-Feb,Probation,BL0,17/02/2022 16:05:00,West,Residential Assistant,2/3/2022 8:07,GEMF:9785,WRKCOM,COMPLAINT,451,480.315,451,451
New Cut House,3/3/2022 16:53,Closed,United Kingdom,Surrey,Work order completed with documents/costs,22-Feb,Probation,CR3,17/02/2022 16:53:00,South,Housekeeping,1/8/2022 14:21,GEMF:9786,WRKCOM,COMPLAINT,451,480.315,451,451
London House,3/3/2022 20:33,Closed,United Kingdom,Isle of Wight,Work order completed with documents/costs,22-Feb,Probation,PO30,17/02/2022 20:33:00,South,Residential Assistant,18/02/2022 09:18:00,GEMF:9787,WRKCOM,COMPLAINT,451,480.315,451,451
Newton Place,3/3/2022 22:08,Closed,United Kingdom,East Sussex,Work order completed with documents/costs,22-Feb,Probation,BN1,17/02/2022 22:08:00,South,Residential Assistant,18/02/2022 10:31:21,GEMF:9788,WRKCOM,COMPLAINT,451,480.315,451,451
Keezhadi excavation site,4/3/2022 15:47,Closed,United Kingdom,Shropshire,Work order completed with documents/costs,22-Feb,Probation,CW3,18/02/2022 15:47:00,West,Residential Assistant,18/02/2022 15:55:00,GEMF:9789,WRKCOM,COMPLAINT,451,480.315,451,451
Ramesseum,4/3/2022 20:17,Closed,United Kingdom,Gloucestershire,Work order completed with documents/costs,22-Feb,Probation,GL1,18/02/2022 20:17:00,West,Residential Assistant,21/02/2022 10:10:00,GEMF:9790,WRKCOM,COMPLAINT,451,480.315,451,451
Massive Heights,4/3/2022 23:59,Closed,United Kingdom,Shropshire,Work order completed with documents/costs,22-Feb,Probation,CW3,19/02/2022 10:21:00,West,Residential Assistant,21/02/2022 08:20:00,GEMF:9791,WRKCOM,COMPLAINT,451,480.315,451,451
Hattusa,4/3/2022 23:59,Closed,United Kingdom,Shropshire,Work order completed with documents/costs,22-Feb,Probation,CW3,19/02/2022 11:06:00,West,Residential Assistant,3/3/2022 8:10,GEMF:9792,WRKCOM,COMPLAINT,451,480.315,451,451
Hattusa,4/3/2022 23:59,Closed,United Kingdom,Shropshire,Work order completed with documents/costs,22-Feb,Probation,CW3,19/02/2022 11:08:00,West,Residential Assistant,21/02/2022 11:03:00,GEMF:9793,WRKCOM,COMPLAINT,451,480.315,451,451
Newton Place,4/3/2022 23:59,Closed,United Kingdom,East Sussex,Work order completed with documents/costs,22-Feb,Probation,BN1,19/02/2022 11:16:00,South,Residential Assistant,22/02/2022 10:48:09,GEMF:9794,WRKCOM,COMPLAINT,451,480.315,451,451
Manhattan Building,4/3/2022 23:59,Closed,United Kingdom,Shropshire,Work order completed with documents/costs,22-Feb,Probation,CW3,19/02/2022 14:46:00,West,Residential Assistant,21/02/2022 07:39:00,GEMF:9795,WRKCOM,COMPLAINT,451,480.315,451,451
Hattusa,4/3/2022 23:59,Closed,United Kingdom,Shropshire,Work order completed with documents/costs,22-Feb,Probation,CW3,19/02/2022 14:57:00,West,Residential Assistant,21/02/2022 11:04:00,GEMF:9796,WRKCOM,COMPLAINT,451,480.315,451,451
Oxford Street Palace,4/3/2022 23:59,Closed,United Kingdom,Greater London,Work order completed with documents/costs,22-Feb,Probation,BR1,19/02/2022 19:25:00,Central,Residential Assistant,21/02/2022 08:24:00,GEMF:9797,WRKCOM,COMPLAINT,451,480.315,451,451
New Lane,4/3/2022 23:59,Closed,United Kingdom,Greater London,Work order completed with documents/costs,22-Feb,Probation,BR1,19/02/2022 20:25:00,Central,Residential Assistant,21/02/2022 09:25:00,GEMF:9798,WRKCOM,COMPLAINT,451,480.315,451,451
Newton Place,4/3/2022 23:59,Closed,United Kingdom,East Sussex,Work order completed with documents/costs,22-Feb,Probation,BN1,20/02/2022 01:08:00,South,Residential Assistant,21/02/2022 09:25:00,GEMF:9799,WRKCOM,COMPLAINT,451,480.315,451,451
Oxford Street Palace,4/3/2022 23:59,Closed,United Kingdom,Greater London,Work order completed with documents/costs,22-Feb,Probation,BR1,20/02/2022 07:40:00,Central,Residential Assistant,21/02/2022 09:18:00,GEMF:9800,WRKCOM,COMPLAINT,451,480.315,451,451
New Cut House,4/3/2022 23:59,Closed,United Kingdom,Surrey,Work order completed with documents/costs,22-Feb,Probation,CR3,20/02/2022 11:27:00,South,Residential Assistant,21/02/2022 09:08:00,GEMF:9801,WRKCOM,COMPLAINT,451,480.315,451,451
New Cut House,4/3/2022 23:59,Closed,United Kingdom,Surrey,Work order completed with documents/costs,22-Feb,Probation,CR3,20/02/2022 11:29:00,South,Residential Assistant,21/02/2022 09:08:00,GEMF:9802,WRKCOM,COMPLAINT,451,480.315,451,451
Pyramid of Merenre,4/3/2022 23:59,Closed,United Kingdom,Essex,Work order completed with documents/costs,22-Feb,Probation,CB1,20/02/2022 12:01:00,East,Residential Assistant,21/02/2022 09:15:00,GEMF:9803,WRKCOM,COMPLAINT,451,480.315,451,451
Manhattan Building,4/3/2022 23:59,Closed,United Kingdom,Shropshire,Work order completed with documents/costs,22-Feb,Probation,CW3,20/02/2022 14:15:00,West,Residential Assistant,21/02/2022 17:26:00,GEMF:9804,WRKCOM,COMPLAINT,451,480.315,451,451
Fresh World House,4/3/2022 23:59,Closed,United Kingdom,Hampshire,Work order completed with documents/costs,22-Feb,Probation,BH23,20/02/2022 20:31:00,South,Residential Assistant,21/02/2022 10:03:00,GEMF:9805,WRKCOM,COMPLAINT,451,480.315,451,451
Newton Place,4/3/2022 23:59,Closed,United Kingdom,East Sussex,Work order completed with documents/costs,22-Feb,Probation,BN1,20/02/2022 20:48:00,South,Residential Assistant,21/02/2022 10:03:00,GEMF:9806,WRKCOM,COMPLAINT,451,480.315,451,451
